ID,Nama_Wisata,Provinsi,Kota_Kabupaten,Kategori,Harga_Tiket,Deskripsi_Fitur,Fitur_Kunci (Tags)
1,Pura Lempuyang,Bali,Karangasem,Budaya,50000,Pura suci Hindu lereng Gunung Agung dengan pemandangan gerbang candi ikonik latar belakang gunung cocok foto religi spiritual sejarah tenang indah.,"candi, budaya, hindu, gunung, fotografi, religi, sejarah, tenang"
2,Pantai Kuta,Bali,Badung,Pantai,0,Pantai pasir putih populer matahari terbenam sunset ramah keluarga berselancar surfing ramai dekat pusat perbelanjaan kuliner kehidupan malam.,"pantai, laut, sunset, selancar, ramai, kuliner, belanja, keluarga"
3,TN Tanjung Puting,Kalimantan Tengah,Kotawaringin Barat,Alam,250000,Konservasi orangutan terbesar menyusuri sungai perahu klotok tradisional petualangan hutan hujan tropis satwa liar edukasi sejuk alami sepi.,"hutan, sungai, orangutan, hewan, petualangan, sejuk, alami, edukasi"
4,Kawah Putih,Jawa Barat,Bandung,Alam,30000,Danau kawah vulkanik belerang putih kehijauan unik lereng Gunung Patuha udara dingin sejuk berkabut romantis estetis foto pegunungan tenang.,"kawah, gunung, dingin, sejuk, belerang, danau, romantis, kabut"
5,Istana Kadriah,Kalimantan Barat,Pontianak,Sejarah,10000,Istana kesultanan Melayu kuno kayu belian kokoh peninggalan meriam arsitektur budaya islam edukatif wisata keluarga anak sekolah sejarah masa lalu.,"istana, sejarah, melayu, islam, edukasi, keluarga, kayu"
6,Candi Borobudur,Jawa Tengah,Magelang,Budaya,50000,Candi Buddha terbesar dunia warisan budaya UNESCO relief megah stupa bersejarah arsitektur kuno edukasi religi spiritual ramai turis pemandangan indah.,"candi, buddha, unesco, sejarah, edukasi, ramai, megah, religi"
7,Raja Ampat,Papua Barat,Raja Ampat,Alam,500000,Kepulauan karang eksotis pemandangan bawah laut terumbu karang menyelam diving snorkeling biota laut langka dunia petualangan eksklusif indah sepi.,"laut, pulau, menyelam, snorkeling, eksotis, terumbu, sepi"
8,Gunung Bromo,Jawa Timur,Probolinggo,Alam,35000,Gunung berapi aktif lautan pasir luas berkuda sewa jeep pemandangan matahari terbit sunrise udara sangat dingin sejuk berkabut petualangan ramai.,"gunung, dingin, sunrise, kawah, jeep, petualangan, ramai, sejuk"
9,Labuan Bajo,Nusa Tenggara Timur,Manggarai Barat,Alam,150000,Gerbang Pulau Komodo pantai pink pasir merah muda pelayaran kapal phinisi pulau padar bukit eksotis menyelam manta ray petualangan langka.,"pulau, komodo, pantai, kapal, diving, petualangan, bukit"
10,Danau Toba,Sumatera Utara,Samosir,Alam,10000,Danau vulkanik terbesar asia tengahnya pulau samosir budaya batak kental pemandangan bukit hijau air tawar luas sejuk tenang santai keluarga.,"danau, pulau, budaya, batak, sejuk, tenang, keluarga, bukit"
11,Malioboro,DI Yogyakarta,Yogyakarta,Kuliner,0,Pusat wisata belanja jalan kaki oleh-oleh khas batik kerajinan kuliner angkringan gudeg jalanan ramai malam hari seniman musik romantis budaya.,"belanja, batik, kuliner, ramai, malam, romantis, budaya, jalanan"
12,Tanah Lot,Bali,Tabanan,Budaya,60000,Pura atas bongkahan batu karang besar tengah laut pemandangan matahari terbenam sunset ikonik ombak besar sejarah suci ular suci ramai foto.,"pura, laut, sunset, karang, sejarah, religi, fotografi, ramai"
13,Derawan,Kalimantan Timur,Berau,Alam,20000,Kepulauan tropis penyu hijau raksasa ubur-ubur tidak menyengat kakaban menyelam snorkeling terumbu karang pantai pasir putih jernih tenang resort.,"pulau, penyu, ubur-ubur, snorkeling, diving, pantai, jernih, tenang"
14,Monas,DKI Jakarta,Jakarta Pusat,Sejarah,15000,Monumen nasional lambang perjuangan indonesia tugu obor emas museum sejarah proklamasi cawan monumen ruang terbuka hijau ramai edukasi keluarga anak.,"monumen, museum, sejarah, edukasi, keluarga, anak, pusat_kota"
15,Bukit Bangkirai,Kalimantan Timur,Kutai Kartanegara,Alam,20000,Hutan konservasi tropis jembatan gantung canopy bridge puncak pohon tinggi petualangan alam liar sejuk pohon hutan purba tracking menantang petualang.,"hutan, jembatan_gantung, pohon, petualangan, sejuk, alam_liar"
16,Pantai Maratua,Kalimantan Timur,Berau,Pantai,0,Surga bawah laut terumbu karang indah air laut bening toska penyu berenang cottage atas air mewah romantis tenang madu honeymoon sepi.,"pantai, laut, penyu, jernih, resort, romantis, honeymoon, sepi"
17,Lawang Sewu,Jawa Tengah,Semarang,Sejarah,20000,Bangunan kolonial belanda seribu pintu arsitektur megah kuno sejarah kereta api tur malam mistis edukasi fotografi perkotaan ramai unik.,"kolonial, sejarah, belanda, arsitektur, misteri, malam, fotografi"
18,Bunaken,Sulawesi Utara,Manado,Alam,50000,Taman nasional laut kelas dunia dinding terumbu karang vertikal spektakuler diving snorkeling jernih biota laut ikan hias tropis edukasi wisata.,"laut, menyelam, terumbu, ikan, snorkeling, jernih, edukasi"
19,Farmhouse Lembang,Jawa Barat,Bandung,Modern,35000,Wisata keluarga gaya eropa rumah hobbit sewa kostum tradisional belanda peternakan hewan mini susu segar spot foto estetis instagramable sejuk ramai.,"eropa, hobbit, foto, kostum, keluarga, anak, sejuk, ramai"
20,Museum Angkut,Jawa Timur,Batu,Modern,100000,Museum transportasi modern koleksi mobil antik zona tematik dunia hollywood eropa lama istana inggris edukatif interaktif keluarga anak parade foto.,"museum, mobil, antik, film, edukasi, anak, keluarga, foto"
